  0%|                                                                                              | 0/120 [00:00<?, ?it/s]
147 11260 tensor(0.1811, device='cuda:0', grad_fn=<MeanBackward0>)
148 11260 tensor(0.2481, device='cuda:0', grad_fn=<MeanBackward0>)
149 11260 tensor(0.2244, device='cuda:0', grad_fn=<MeanBackward0>)
150 11260 tensor(0.2295, device='cuda:0', grad_fn=<MeanBackward0>)
151 11260 tensor(0.2132, device='cuda:0', grad_fn=<MeanBackward0>)
152 11260 tensor(0.2266, device='cuda:0', grad_fn=<MeanBackward0>)
153 11260 tensor(0.2338, device='cuda:0', grad_fn=<MeanBackward0>)
154 11260 tensor(0.3918, device='cuda:0', grad_fn=<MeanBackward0>)
155 11260 tensor(0.3177, device='cuda:0', grad_fn=<MeanBackward0>)
156 11260 tensor(0.3694, device='cuda:0', grad_fn=<MeanBackward0>)
157 11260 tensor(0.2143, device='cuda:0', grad_fn=<MeanBackward0>)
158 11260 tensor(0.1807, device='cuda:0', grad_fn=<MeanBackward0>)
159 11260 tensor(0.2407, device='cuda:0', grad_fn=<MeanBackward0>)
160 11260 tensor(0.3066, device='cuda:0', grad_fn=<MeanBackward0>)
161 11260 tensor(0.2183, device='cuda:0', grad_fn=<MeanBackward0>)
162 11260 tensor(0.2008, device='cuda:0', grad_fn=<MeanBackward0>)
163 11260 tensor(0.3108, device='cuda:0', grad_fn=<MeanBackward0>)
164 11260 tensor(0.2705, device='cuda:0', grad_fn=<MeanBackward0>)
165 11260 tensor(0.2654, device='cuda:0', grad_fn=<MeanBackward0>)
166 11260 tensor(0.2143, device='cuda:0', grad_fn=<MeanBackward0>)
167 11260 tensor(0.4070, device='cuda:0', grad_fn=<MeanBackward0>)
168 11260 tensor(0.2802, device='cuda:0', grad_fn=<MeanBackward0>)
169 11260 tensor(0.1495, device='cuda:0', grad_fn=<MeanBackward0>)
170 11260 tensor(0.3840, device='cuda:0', grad_fn=<MeanBackward0>)
171 11260 tensor(0.2459, device='cuda:0', grad_fn=<MeanBackward0>)
172 11260 tensor(0.1868, device='cuda:0', grad_fn=<MeanBackward0>)
173 11260 tensor(0.1730, device='cuda:0', grad_fn=<MeanBackward0>)
174 11260 tensor(0.3929, device='cuda:0', grad_fn=<MeanBackward0>)
175 11260 tensor(0.2634, device='cuda:0', grad_fn=<MeanBackward0>)
176 11260 tensor(0.3229, device='cuda:0', grad_fn=<MeanBackward0>)
177 11260 tensor(0.3237, device='cuda:0', grad_fn=<MeanBackward0>)
178 11260 tensor(0.3268, device='cuda:0', grad_fn=<MeanBackward0>)
179 11260 tensor(0.3415, device='cuda:0', grad_fn=<MeanBackward0>)
180 11260 tensor(0.1959, device='cuda:0', grad_fn=<MeanBackward0>)
181 11260 tensor(0.3455, device='cuda:0', grad_fn=<MeanBackward0>)
182 11260 tensor(0.2220, device='cuda:0', grad_fn=<MeanBackward0>)
183 11260 tensor(0.1961, device='cuda:0', grad_fn=<MeanBackward0>)
184 11260 tensor(0.1887, device='cuda:0', grad_fn=<MeanBackward0>)
185 11260 tensor(0.3053, device='cuda:0', grad_fn=<MeanBackward0>)
186 11260 tensor(0.3298, device='cuda:0', grad_fn=<MeanBackward0>)
187 11260 tensor(0.1796, device='cuda:0', grad_fn=<MeanBackward0>)
188 11260 tensor(0.4438, device='cuda:0', grad_fn=<MeanBackward0>)
189 11260 tensor(0.2162, device='cuda:0', grad_fn=<MeanBackward0>)
190 11260 tensor(0.1694, device='cuda:0', grad_fn=<MeanBackward0>)
191 11260 tensor(0.4442, device='cuda:0', grad_fn=<MeanBackward0>)
192 11260 tensor(0.2050, device='cuda:0', grad_fn=<MeanBackward0>)
193 11260 tensor(0.6133, device='cuda:0', grad_fn=<MeanBackward0>)
194 11260 tensor(0.1311, device='cuda:0', grad_fn=<MeanBackward0>)
195 11260 tensor(0.2597, device='cuda:0', grad_fn=<MeanBackward0>)
196 11260 tensor(0.2749, device='cuda:0', grad_fn=<MeanBackward0>)
197 11260 tensor(0.2192, device='cuda:0', grad_fn=<MeanBackward0>)
198 11260 tensor(0.4210, device='cuda:0', grad_fn=<MeanBackward0>)
199 11260 tensor(0.2665, device='cuda:0', grad_fn=<MeanBackward0>)
200 11260 tensor(0.2954, device='cuda:0', grad_fn=<MeanBackward0>)
201 11260 tensor(0.2168, device='cuda:0', grad_fn=<MeanBackward0>)
202 11260 tensor(0.1058, device='cuda:0', grad_fn=<MeanBackward0>)
203 11260 tensor(0.3001, device='cuda:0', grad_fn=<MeanBackward0>)
204 11260 tensor(0.2443, device='cuda:0', grad_fn=<MeanBackward0>)
205 11260 tensor(0.1479, device='cuda:0', grad_fn=<MeanBackward0>)
206 11260 tensor(0.2250, device='cuda:0', grad_fn=<MeanBackward0>)
207 11260 tensor(0.4245, device='cuda:0', grad_fn=<MeanBackward0>)
208 11260 tensor(0.1821, device='cuda:0', grad_fn=<MeanBackward0>)
209 11260 tensor(0.3842, device='cuda:0', grad_fn=<MeanBackward0>)
210 11260 tensor(0.2534, device='cuda:0', grad_fn=<MeanBackward0>)
211 11260 tensor(0.1499, device='cuda:0', grad_fn=<MeanBackward0>)
212 11260 tensor(0.4261, device='cuda:0', grad_fn=<MeanBackward0>)
213 11260 tensor(0.3057, device='cuda:0', grad_fn=<MeanBackward0>)
214 11260 tensor(0.1845, device='cuda:0', grad_fn=<MeanBackward0>)
215 11260 tensor(0.3461, device='cuda:0', grad_fn=<MeanBackward0>)
216 11260 tensor(0.1086, device='cuda:0', grad_fn=<MeanBackward0>)
217 11260 tensor(0.3986, device='cuda:0', grad_fn=<MeanBackward0>)
218 11260 tensor(0.2120, device='cuda:0', grad_fn=<MeanBackward0>)
219 11260 tensor(0.2179, device='cuda:0', grad_fn=<MeanBackward0>)
220 11260 tensor(0.2336, device='cuda:0', grad_fn=<MeanBackward0>)
221 11260 tensor(0.2638, device='cuda:0', grad_fn=<MeanBackward0>)
222 11260 tensor(0.3789, device='cuda:0', grad_fn=<MeanBackward0>)
223 11260 tensor(0.1106, device='cuda:0', grad_fn=<MeanBackward0>)
224 11260 tensor(0.2527, device='cuda:0', grad_fn=<MeanBackward0>)
225 11260 tensor(0.3948, device='cuda:0', grad_fn=<MeanBackward0>)
226 11260 tensor(0.2819, device='cuda:0', grad_fn=<MeanBackward0>)
227 11260 tensor(0.3374, device='cuda:0', grad_fn=<MeanBackward0>)
228 11260 tensor(0.2498, device='cuda:0', grad_fn=<MeanBackward0>)
229 11260 tensor(0.3407, device='cuda:0', grad_fn=<MeanBackward0>)
230 11260 tensor(0.2877, device='cuda:0', grad_fn=<MeanBackward0>)
231 11260 tensor(0.2994, device='cuda:0', grad_fn=<MeanBackward0>)
232 11260 tensor(0.2670, device='cuda:0', grad_fn=<MeanBackward0>)
233 11260 tensor(0.3193, device='cuda:0', grad_fn=<MeanBackward0>)
234 11260 tensor(0.3133, device='cuda:0', grad_fn=<MeanBackward0>)
235 11260 tensor(0.2935, device='cuda:0', grad_fn=<MeanBackward0>)
236 11260 tensor(0.3726, device='cuda:0', grad_fn=<MeanBackward0>)
237 11260 tensor(0.2391, device='cuda:0', grad_fn=<MeanBackward0>)
238 11260 tensor(0.2227, device='cuda:0', grad_fn=<MeanBackward0>)
239 11260 tensor(0.2497, device='cuda:0', grad_fn=<MeanBackward0>)
240 11260 tensor(0.3458, device='cuda:0', grad_fn=<MeanBackward0>)
241 11260 tensor(0.5507, device='cuda:0', grad_fn=<MeanBackward0>)
242 11260 tensor(0.4574, device='cuda:0', grad_fn=<MeanBackward0>)
243 11260 tensor(0.9296, device='cuda:0', grad_fn=<MeanBackward0>)
244 11260 tensor(0.3945, device='cuda:0', grad_fn=<MeanBackward0>)
245 11260 tensor(0.8732, device='cuda:0', grad_fn=<MeanBackward0>)
246 11260 tensor(0.8369, device='cuda:0', grad_fn=<MeanBackward0>)
247 11260 tensor(0.2053, device='cuda:0', grad_fn=<MeanBackward0>)
248 11260 tensor(0.5371, device='cuda:0', grad_fn=<MeanBackward0>)
249 11260 tensor(0.4717, device='cuda:0', grad_fn=<MeanBackward0>)
250 11260 tensor(0.2500, device='cuda:0', grad_fn=<MeanBackward0>)
251 11260 tensor(0.5312, device='cuda:0', grad_fn=<MeanBackward0>)
252 11260 tensor(0.2488, device='cuda:0', grad_fn=<MeanBackward0>)
253 11260 tensor(0.3966, device='cuda:0', grad_fn=<MeanBackward0>)
254 11260 tensor(0.2804, device='cuda:0', grad_fn=<MeanBackward0>)
255 11260 tensor(0.4564, device='cuda:0', grad_fn=<MeanBackward0>)
256 11260 tensor(0.3405, device='cuda:0', grad_fn=<MeanBackward0>)
257 11260 tensor(0.3199, device='cuda:0', grad_fn=<MeanBackward0>)
258 11260 tensor(0.4433, device='cuda:0', grad_fn=<MeanBackward0>)
259 11260 tensor(0.1962, device='cuda:0', grad_fn=<MeanBackward0>)
260 11260 tensor(0.2348, device='cuda:0', grad_fn=<MeanBackward0>)
261 11260 tensor(0.2972, device='cuda:0', grad_fn=<MeanBackward0>)
262 11260 tensor(0.3027, device='cuda:0', grad_fn=<MeanBackward0>)
263 11260 tensor(0.4410, device='cuda:0', grad_fn=<MeanBackward0>)
264 11260 tensor(0.4192, device='cuda:0', grad_fn=<MeanBackward0>)
265 11260 tensor(0.2664, device='cuda:0', grad_fn=<MeanBackward0>)
266 11260 tensor(0.3946, device='cuda:0', grad_fn=<MeanBackward0>)
267 11260 tensor(0.3086, device='cuda:0', grad_fn=<MeanBackward0>)
268 11260 tensor(0.1097, device='cuda:0', grad_fn=<MeanBackward0>)
269 11260 tensor(0.1720, device='cuda:0', grad_fn=<MeanBackward0>)
270 11260 tensor(0.1347, device='cuda:0', grad_fn=<MeanBackward0>)
271 11260 tensor(0.1726, device='cuda:0', grad_fn=<MeanBackward0>)
272 11260 tensor(0.2813, device='cuda:0', grad_fn=<MeanBackward0>)
273 11260 tensor(0.0356, device='cuda:0', grad_fn=<MeanBackward0>)
274 11260 tensor(0.4241, device='cuda:0', grad_fn=<MeanBackward0>)
275 11260 tensor(0.4989, device='cuda:0', grad_fn=<MeanBackward0>)
276 11260 tensor(0.4157, device='cuda:0', grad_fn=<MeanBackward0>)
277 11260 tensor(0.5222, device='cuda:0', grad_fn=<MeanBackward0>)
278 11260 tensor(0.5509, device='cuda:0', grad_fn=<MeanBackward0>)
279 11260 tensor(0.4111, device='cuda:0', grad_fn=<MeanBackward0>)
280 11260 tensor(0.5996, device='cuda:0', grad_fn=<MeanBackward0>)
281 11260 tensor(0.3646, device='cuda:0', grad_fn=<MeanBackward0>)
282 11260 tensor(0.3305, device='cuda:0', grad_fn=<MeanBackward0>)
283 11260 tensor(0.4502, device='cuda:0', grad_fn=<MeanBackward0>)
284 11260 tensor(0.2258, device='cuda:0', grad_fn=<MeanBackward0>)
285 11260 tensor(0.2483, device='cuda:0', grad_fn=<MeanBackward0>)
286 11260 tensor(0.1094, device='cuda:0', grad_fn=<MeanBackward0>)
287 11260 tensor(0.2353, device='cuda:0', grad_fn=<MeanBackward0>)
288 11260 tensor(0.3301, device='cuda:0', grad_fn=<MeanBackward0>)
289 11260 tensor(0.1918, device='cuda:0', grad_fn=<MeanBackward0>)
290 11260 tensor(0.3582, device='cuda:0', grad_fn=<MeanBackward0>)
291 11260 tensor(0.2721, device='cuda:0', grad_fn=<MeanBackward0>)
292 11260 tensor(0.1508, device='cuda:0', grad_fn=<MeanBackward0>)
293 11260 tensor(0.2436, device='cuda:0', grad_fn=<MeanBackward0>)
294 11260 tensor(0.2208, device='cuda:0', grad_fn=<MeanBackward0>)
295 11260 tensor(0.3110, device='cuda:0', grad_fn=<MeanBackward0>)
296 11260 tensor(0.4571, device='cuda:0', grad_fn=<MeanBackward0>)
297 11260 tensor(0.4532, device='cuda:0', grad_fn=<MeanBackward0>)
298 11260 tensor(0.2470, device='cuda:0', grad_fn=<MeanBackward0>)
299 11260 tensor(0.6148, device='cuda:0', grad_fn=<MeanBackward0>)
300 11260 tensor(0.2771, device='cuda:0', grad_fn=<MeanBackward0>)
301 11260 tensor(0.2102, device='cuda:0', grad_fn=<MeanBackward0>)
302 11260 tensor(0.2848, device='cuda:0', grad_fn=<MeanBackward0>)
303 11260 tensor(0.1590, device='cuda:0', grad_fn=<MeanBackward0>)
304 11260 tensor(0.3010, device='cuda:0', grad_fn=<MeanBackward0>)
305 11260 tensor(0.2142, device='cuda:0', grad_fn=<MeanBackward0>)
306 11260 tensor(0.2911, device='cuda:0', grad_fn=<MeanBackward0>)
307 11260 tensor(0.2911, device='cuda:0', grad_fn=<MeanBackward0>)
308 11260 tensor(0.3185, device='cuda:0', grad_fn=<MeanBackward0>)
309 11260 tensor(0.3043, device='cuda:0', grad_fn=<MeanBackward0>)
310 11260 tensor(0.3968, device='cuda:0', grad_fn=<MeanBackward0>)
311 11260 tensor(0.3026, device='cuda:0', grad_fn=<MeanBackward0>)
312 11260 tensor(0.2644, device='cuda:0', grad_fn=<MeanBackward0>)
313 11260 tensor(0.2468, device='cuda:0', grad_fn=<MeanBackward0>)
314 11260 tensor(0.2821, device='cuda:0', grad_fn=<MeanBackward0>)
315 11260 tensor(0.1918, device='cuda:0', grad_fn=<MeanBackward0>)
316 11260 tensor(0.3860, device='cuda:0', grad_fn=<MeanBackward0>)
317 11260 tensor(0.2787, device='cuda:0', grad_fn=<MeanBackward0>)
318 11260 tensor(0.1322, device='cuda:0', grad_fn=<MeanBackward0>)
319 11260 tensor(0.5968, device='cuda:0', grad_fn=<MeanBackward0>)
320 11260 tensor(0.3406, device='cuda:0', grad_fn=<MeanBackward0>)
321 11260 tensor(0.1695, device='cuda:0', grad_fn=<MeanBackward0>)
322 11260 tensor(0.1024, device='cuda:0', grad_fn=<MeanBackward0>)
323 11260 tensor(0.3711, device='cuda:0', grad_fn=<MeanBackward0>)
324 11260 tensor(0.4088, device='cuda:0', grad_fn=<MeanBackward0>)
325 11260 tensor(0.2189, device='cuda:0', grad_fn=<MeanBackward0>)
326 11260 tensor(0.2163, device='cuda:0', grad_fn=<MeanBackward0>)
327 11260 tensor(0.1504, device='cuda:0', grad_fn=<MeanBackward0>)
328 11260 tensor(0.3229, device='cuda:0', grad_fn=<MeanBackward0>)
329 11260 tensor(0.1596, device='cuda:0', grad_fn=<MeanBackward0>)
330 11260 tensor(0.3968, device='cuda:0', grad_fn=<MeanBackward0>)
331 11260 tensor(0.2134, device='cuda:0', grad_fn=<MeanBackward0>)
332 11260 tensor(0.3760, device='cuda:0', grad_fn=<MeanBackward0>)
333 11260 tensor(0.9329, device='cuda:0', grad_fn=<MeanBackward0>)
334 11260 tensor(0.0900, device='cuda:0', grad_fn=<MeanBackward0>)
335 11260 tensor(0.2463, device='cuda:0', grad_fn=<MeanBackward0>)
336 11260 tensor(0.0826, device='cuda:0', grad_fn=<MeanBackward0>)
337 11260 tensor(0.4160, device='cuda:0', grad_fn=<MeanBackward0>)
338 11260 tensor(0.2722, device='cuda:0', grad_fn=<MeanBackward0>)
339 11260 tensor(0.3707, device='cuda:0', grad_fn=<MeanBackward0>)
340 11260 tensor(0.3986, device='cuda:0', grad_fn=<MeanBackward0>)
341 11260 tensor(0.3218, device='cuda:0', grad_fn=<MeanBackward0>)
342 11260 tensor(0.2448, device='cuda:0', grad_fn=<MeanBackward0>)
343 11260 tensor(0.3295, device='cuda:0', grad_fn=<MeanBackward0>)
344 11260 tensor(0.3491, device='cuda:0', grad_fn=<MeanBackward0>)
345 11260 tensor(0.4305, device='cuda:0', grad_fn=<MeanBackward0>)
346 11260 tensor(0.9071, device='cuda:0', grad_fn=<MeanBackward0>)
347 11260 tensor(0.1842, device='cuda:0', grad_fn=<MeanBackward0>)
348 11260 tensor(0.3116, device='cuda:0', grad_fn=<MeanBackward0>)
349 11260 tensor(0.3159, device='cuda:0', grad_fn=<MeanBackward0>)
350 11260 tensor(0.6392, device='cuda:0', grad_fn=<MeanBackward0>)
351 11260 tensor(0.3779, device='cuda:0', grad_fn=<MeanBackward0>)
train - Global loss: 0.317918    Embedding norm: 12.0592   Triplets (all/active): 32.0/14.8
Pos dist (min/mean/max): 1.8804/2.5924/4.6364   Neg dist (min/mean/max): 2.3177/4.0076/2.3177
0 14624 tensor(1.6105, device='cuda:0')
1 14624 tensor(1.5099, device='cuda:0')
2 14624 tensor(0.8342, device='cuda:0')
3 14624 tensor(0.7401, device='cuda:0')
