  0%|                                                                                              | 0/120 [00:00<?, ?it/s]
46 11260 tensor(0.3323, device='cuda:0', grad_fn=<MeanBackward0>)
47 11260 tensor(0.3035, device='cuda:0', grad_fn=<MeanBackward0>)
48 11260 tensor(0.2759, device='cuda:0', grad_fn=<MeanBackward0>)
49 11260 tensor(0.2402, device='cuda:0', grad_fn=<MeanBackward0>)
50 11260 tensor(0.2902, device='cuda:0', grad_fn=<MeanBackward0>)
51 11260 tensor(0.3257, device='cuda:0', grad_fn=<MeanBackward0>)
52 11260 tensor(0.2588, device='cuda:0', grad_fn=<MeanBackward0>)
53 11260 tensor(0.2977, device='cuda:0', grad_fn=<MeanBackward0>)
54 11260 tensor(0.3664, device='cuda:0', grad_fn=<MeanBackward0>)
55 11260 tensor(0.4610, device='cuda:0', grad_fn=<MeanBackward0>)
56 11260 tensor(0.6287, device='cuda:0', grad_fn=<MeanBackward0>)
57 11260 tensor(0.5191, device='cuda:0', grad_fn=<MeanBackward0>)
58 11260 tensor(0.4710, device='cuda:0', grad_fn=<MeanBackward0>)
59 11260 tensor(0.7465, device='cuda:0', grad_fn=<MeanBackward0>)
60 11260 tensor(0.6203, device='cuda:0', grad_fn=<MeanBackward0>)
61 11260 tensor(0.4497, device='cuda:0', grad_fn=<MeanBackward0>)
62 11260 tensor(0.3539, device='cuda:0', grad_fn=<MeanBackward0>)
63 11260 tensor(0.3206, device='cuda:0', grad_fn=<MeanBackward0>)
64 11260 tensor(0.2111, device='cuda:0', grad_fn=<MeanBackward0>)
65 11260 tensor(0.2299, device='cuda:0', grad_fn=<MeanBackward0>)
66 11260 tensor(0.2521, device='cuda:0', grad_fn=<MeanBackward0>)
67 11260 tensor(0.2122, device='cuda:0', grad_fn=<MeanBackward0>)
68 11260 tensor(0.4287, device='cuda:0', grad_fn=<MeanBackward0>)
69 11260 tensor(0.6632, device='cuda:0', grad_fn=<MeanBackward0>)
70 11260 tensor(0.5113, device='cuda:0', grad_fn=<MeanBackward0>)
71 11260 tensor(0.4909, device='cuda:0', grad_fn=<MeanBackward0>)
72 11260 tensor(0.4442, device='cuda:0', grad_fn=<MeanBackward0>)
73 11260 tensor(0.2862, device='cuda:0', grad_fn=<MeanBackward0>)
74 11260 tensor(0.2606, device='cuda:0', grad_fn=<MeanBackward0>)
75 11260 tensor(0.5095, device='cuda:0', grad_fn=<MeanBackward0>)
76 11260 tensor(0.4150, device='cuda:0', grad_fn=<MeanBackward0>)
77 11260 tensor(0.5311, device='cuda:0', grad_fn=<MeanBackward0>)
78 11260 tensor(0.4617, device='cuda:0', grad_fn=<MeanBackward0>)
79 11260 tensor(0.1980, device='cuda:0', grad_fn=<MeanBackward0>)
80 11260 tensor(0.0981, device='cuda:0', grad_fn=<MeanBackward0>)
81 11260 tensor(0.0615, device='cuda:0', grad_fn=<MeanBackward0>)
82 11260 tensor(0.1823, device='cuda:0', grad_fn=<MeanBackward0>)
83 11260 tensor(0.1557, device='cuda:0', grad_fn=<MeanBackward0>)
84 11260 tensor(0.0687, device='cuda:0', grad_fn=<MeanBackward0>)
85 11260 tensor(0.2409, device='cuda:0', grad_fn=<MeanBackward0>)
86 11260 tensor(0.3201, device='cuda:0', grad_fn=<MeanBackward0>)
87 11260 tensor(0.3378, device='cuda:0', grad_fn=<MeanBackward0>)
88 11260 tensor(0.3814, device='cuda:0', grad_fn=<MeanBackward0>)
89 11260 tensor(0.7012, device='cuda:0', grad_fn=<MeanBackward0>)
90 11260 tensor(0.4103, device='cuda:0', grad_fn=<MeanBackward0>)
91 11260 tensor(0.2168, device='cuda:0', grad_fn=<MeanBackward0>)
92 11260 tensor(0.7844, device='cuda:0', grad_fn=<MeanBackward0>)
93 11260 tensor(1.4936, device='cuda:0', grad_fn=<MeanBackward0>)
94 11260 tensor(0.8374, device='cuda:0', grad_fn=<MeanBackward0>)
95 11260 tensor(0.9458, device='cuda:0', grad_fn=<MeanBackward0>)
96 11260 tensor(0.8634, device='cuda:0', grad_fn=<MeanBackward0>)
97 11260 tensor(0.5569, device='cuda:0', grad_fn=<MeanBackward0>)
98 11260 tensor(0.4677, device='cuda:0', grad_fn=<MeanBackward0>)
99 11260 tensor(0.6506, device='cuda:0', grad_fn=<MeanBackward0>)
100 11260 tensor(0.4316, device='cuda:0', grad_fn=<MeanBackward0>)
101 11260 tensor(0.2034, device='cuda:0', grad_fn=<MeanBackward0>)
102 11260 tensor(0.3052, device='cuda:0', grad_fn=<MeanBackward0>)
103 11260 tensor(0.4312, device='cuda:0', grad_fn=<MeanBackward0>)
104 11260 tensor(0.3469, device='cuda:0', grad_fn=<MeanBackward0>)
105 11260 tensor(0.3867, device='cuda:0', grad_fn=<MeanBackward0>)
106 11260 tensor(0.5484, device='cuda:0', grad_fn=<MeanBackward0>)
107 11260 tensor(1.9942, device='cuda:0', grad_fn=<MeanBackward0>)
108 11260 tensor(2.2533, device='cuda:0', grad_fn=<MeanBackward0>)
109 11260 tensor(1.7871, device='cuda:0', grad_fn=<MeanBackward0>)
110 11260 tensor(1.2369, device='cuda:0', grad_fn=<MeanBackward0>)
111 11260 tensor(1.0695, device='cuda:0', grad_fn=<MeanBackward0>)
112 11260 tensor(0.6313, device='cuda:0', grad_fn=<MeanBackward0>)
113 11260 tensor(0.4662, device='cuda:0', grad_fn=<MeanBackward0>)
114 11260 tensor(0.4066, device='cuda:0', grad_fn=<MeanBackward0>)
115 11260 tensor(0.4151, device='cuda:0', grad_fn=<MeanBackward0>)
116 11260 tensor(0.4171, device='cuda:0', grad_fn=<MeanBackward0>)
117 11260 tensor(0.4778, device='cuda:0', grad_fn=<MeanBackward0>)
118 11260 tensor(1.0374, device='cuda:0', grad_fn=<MeanBackward0>)
119 11260 tensor(0.6543, device='cuda:0', grad_fn=<MeanBackward0>)
120 11260 tensor(0.7272, device='cuda:0', grad_fn=<MeanBackward0>)
121 11260 tensor(0.8863, device='cuda:0', grad_fn=<MeanBackward0>)
122 11260 tensor(0.8914, device='cuda:0', grad_fn=<MeanBackward0>)
123 11260 tensor(0.8533, device='cuda:0', grad_fn=<MeanBackward0>)
124 11260 tensor(0.7894, device='cuda:0', grad_fn=<MeanBackward0>)
125 11260 tensor(0.6323, device='cuda:0', grad_fn=<MeanBackward0>)
126 11260 tensor(0.6214, device='cuda:0', grad_fn=<MeanBackward0>)
127 11260 tensor(0.7291, device='cuda:0', grad_fn=<MeanBackward0>)
128 11260 tensor(0.3790, device='cuda:0', grad_fn=<MeanBackward0>)
129 11260 tensor(0.4369, device='cuda:0', grad_fn=<MeanBackward0>)
130 11260 tensor(0.4031, device='cuda:0', grad_fn=<MeanBackward0>)
131 11260 tensor(0.4399, device='cuda:0', grad_fn=<MeanBackward0>)
132 11260 tensor(0.3659, device='cuda:0', grad_fn=<MeanBackward0>)
133 11260 tensor(0.2682, device='cuda:0', grad_fn=<MeanBackward0>)
134 11260 tensor(0.1834, device='cuda:0', grad_fn=<MeanBackward0>)
135 11260 tensor(0.2439, device='cuda:0', grad_fn=<MeanBackward0>)
136 11260 tensor(0.3493, device='cuda:0', grad_fn=<MeanBackward0>)
137 11260 tensor(0.3149, device='cuda:0', grad_fn=<MeanBackward0>)
138 11260 tensor(0.3772, device='cuda:0', grad_fn=<MeanBackward0>)
139 11260 tensor(0.7022, device='cuda:0', grad_fn=<MeanBackward0>)
140 11260 tensor(0.7291, device='cuda:0', grad_fn=<MeanBackward0>)
141 11260 tensor(0.6809, device='cuda:0', grad_fn=<MeanBackward0>)
142 11260 tensor(0.4564, device='cuda:0', grad_fn=<MeanBackward0>)
143 11260 tensor(0.6426, device='cuda:0', grad_fn=<MeanBackward0>)
144 11260 tensor(0.5686, device='cuda:0', grad_fn=<MeanBackward0>)
145 11260 tensor(0.5742, device='cuda:0', grad_fn=<MeanBackward0>)
146 11260 tensor(0.3800, device='cuda:0', grad_fn=<MeanBackward0>)
147 11260 tensor(0.3590, device='cuda:0', grad_fn=<MeanBackward0>)
148 11260 tensor(0.4615, device='cuda:0', grad_fn=<MeanBackward0>)
149 11260 tensor(0.3342, device='cuda:0', grad_fn=<MeanBackward0>)
150 11260 tensor(0.3288, device='cuda:0', grad_fn=<MeanBackward0>)
151 11260 tensor(0.2966, device='cuda:0', grad_fn=<MeanBackward0>)
152 11260 tensor(0.2764, device='cuda:0', grad_fn=<MeanBackward0>)
153 11260 tensor(0.3518, device='cuda:0', grad_fn=<MeanBackward0>)
154 11260 tensor(0.4036, device='cuda:0', grad_fn=<MeanBackward0>)
155 11260 tensor(0.3451, device='cuda:0', grad_fn=<MeanBackward0>)
156 11260 tensor(0.3599, device='cuda:0', grad_fn=<MeanBackward0>)
157 11260 tensor(0.3120, device='cuda:0', grad_fn=<MeanBackward0>)
158 11260 tensor(0.5546, device='cuda:0', grad_fn=<MeanBackward0>)
159 11260 tensor(0.2330, device='cuda:0', grad_fn=<MeanBackward0>)
160 11260 tensor(0.2734, device='cuda:0', grad_fn=<MeanBackward0>)
161 11260 tensor(0.2239, device='cuda:0', grad_fn=<MeanBackward0>)
162 11260 tensor(0.4130, device='cuda:0', grad_fn=<MeanBackward0>)
163 11260 tensor(0.4574, device='cuda:0', grad_fn=<MeanBackward0>)
164 11260 tensor(0.3582, device='cuda:0', grad_fn=<MeanBackward0>)
165 11260 tensor(0.2332, device='cuda:0', grad_fn=<MeanBackward0>)
166 11260 tensor(0.2851, device='cuda:0', grad_fn=<MeanBackward0>)
167 11260 tensor(0.2750, device='cuda:0', grad_fn=<MeanBackward0>)
168 11260 tensor(0.1462, device='cuda:0', grad_fn=<MeanBackward0>)
169 11260 tensor(0.4346, device='cuda:0', grad_fn=<MeanBackward0>)
170 11260 tensor(0.5115, device='cuda:0', grad_fn=<MeanBackward0>)
171 11260 tensor(0.5189, device='cuda:0', grad_fn=<MeanBackward0>)
172 11260 tensor(0.4323, device='cuda:0', grad_fn=<MeanBackward0>)
173 11260 tensor(0.3229, device='cuda:0', grad_fn=<MeanBackward0>)
174 11260 tensor(0.4826, device='cuda:0', grad_fn=<MeanBackward0>)
175 11260 tensor(0.2670, device='cuda:0', grad_fn=<MeanBackward0>)
176 11260 tensor(0.4976, device='cuda:0', grad_fn=<MeanBackward0>)
177 11260 tensor(1.0956, device='cuda:0', grad_fn=<MeanBackward0>)
178 11260 tensor(0.6023, device='cuda:0', grad_fn=<MeanBackward0>)
179 11260 tensor(0.5796, device='cuda:0', grad_fn=<MeanBackward0>)
180 11260 tensor(0.4555, device='cuda:0', grad_fn=<MeanBackward0>)
181 11260 tensor(0.2345, device='cuda:0', grad_fn=<MeanBackward0>)
182 11260 tensor(0.1416, device='cuda:0', grad_fn=<MeanBackward0>)
183 11260 tensor(0.1081, device='cuda:0', grad_fn=<MeanBackward0>)
184 11260 tensor(0.0620, device='cuda:0', grad_fn=<MeanBackward0>)
185 11260 tensor(0.0786, device='cuda:0', grad_fn=<MeanBackward0>)
186 11260 tensor(0.0842, device='cuda:0', grad_fn=<MeanBackward0>)
187 11260 tensor(0.1928, device='cuda:0', grad_fn=<MeanBackward0>)
188 11260 tensor(0.2717, device='cuda:0', grad_fn=<MeanBackward0>)
189 11260 tensor(0.0899, device='cuda:0', grad_fn=<MeanBackward0>)
190 11260 tensor(0.2879, device='cuda:0', grad_fn=<MeanBackward0>)
191 11260 tensor(0.1626, device='cuda:0', grad_fn=<MeanBackward0>)
192 11260 tensor(0.7006, device='cuda:0', grad_fn=<MeanBackward0>)
193 11260 tensor(0.9788, device='cuda:0', grad_fn=<MeanBackward0>)
194 11260 tensor(0.4702, device='cuda:0', grad_fn=<MeanBackward0>)
195 11260 tensor(1.5838, device='cuda:0', grad_fn=<MeanBackward0>)
196 11260 tensor(2.5360, device='cuda:0', grad_fn=<MeanBackward0>)
197 11260 tensor(2.1222, device='cuda:0', grad_fn=<MeanBackward0>)
198 11260 tensor(1.0610, device='cuda:0', grad_fn=<MeanBackward0>)
199 11260 tensor(1.1698, device='cuda:0', grad_fn=<MeanBackward0>)
200 11260 tensor(0.7533, device='cuda:0', grad_fn=<MeanBackward0>)
201 11260 tensor(0.5655, device='cuda:0', grad_fn=<MeanBackward0>)
202 11260 tensor(0.4464, device='cuda:0', grad_fn=<MeanBackward0>)
203 11260 tensor(0.5071, device='cuda:0', grad_fn=<MeanBackward0>)
204 11260 tensor(0.3673, device='cuda:0', grad_fn=<MeanBackward0>)
205 11260 tensor(0.4807, device='cuda:0', grad_fn=<MeanBackward0>)
206 11260 tensor(0.7864, device='cuda:0', grad_fn=<MeanBackward0>)
207 11260 tensor(0.6321, device='cuda:0', grad_fn=<MeanBackward0>)
208 11260 tensor(0.7911, device='cuda:0', grad_fn=<MeanBackward0>)
209 11260 tensor(0.4133, device='cuda:0', grad_fn=<MeanBackward0>)
210 11260 tensor(0.3052, device='cuda:0', grad_fn=<MeanBackward0>)
211 11260 tensor(0.2715, device='cuda:0', grad_fn=<MeanBackward0>)
212 11260 tensor(0.3576, device='cuda:0', grad_fn=<MeanBackward0>)
213 11260 tensor(0.3889, device='cuda:0', grad_fn=<MeanBackward0>)
214 11260 tensor(0.4790, device='cuda:0', grad_fn=<MeanBackward0>)
215 11260 tensor(0.4465, device='cuda:0', grad_fn=<MeanBackward0>)
216 11260 tensor(0.4156, device='cuda:0', grad_fn=<MeanBackward0>)
217 11260 tensor(0.5271, device='cuda:0', grad_fn=<MeanBackward0>)
218 11260 tensor(0.9012, device='cuda:0', grad_fn=<MeanBackward0>)
219 11260 tensor(1.0285, device='cuda:0', grad_fn=<MeanBackward0>)
220 11260 tensor(1.0026, device='cuda:0', grad_fn=<MeanBackward0>)
Traceback (most recent call last):
  File "/code/RLoc/training/train.py", line 31, in <module>
    do_train(params, debug=args.debug, device=device)
  File "/code/RLoc/training/trainer.py", line 354, in do_train
    for index, (query, positives, negatives) in enumerate(dataloaders[phase]):
  File "/usr/local/lib/python3.9/site-packages/torch/utils/data/dataloader.py", line 681, in __next__
    data = self._next_data()
  File "/usr/local/lib/python3.9/site-packages/torch/utils/data/dataloader.py", line 721, in _next_data
    data = self._dataset_fetcher.fetch(index)  # may raise StopIteration
  File "/usr/local/lib/python3.9/site-packages/torch/utils/data/_utils/fetch.py", line 52, in fetch
    return self.collate_fn(data)
  File "/usr/local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py", line 175, in default_collate
    return [default_collate(samples) for samples in transposed]  # Backwards compatibility.
  File "/usr/local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py", line 175, in <listcomp>
    return [default_collate(samples) for samples in transposed]  # Backwards compatibility.
  File "/usr/local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py", line 141, in default_collate
    return torch.stack(batch, 0, out=out)
KeyboardInterrupt
